_id,dni,nombre,apellido,edad,experiencia_vehiculo,numero_poliza,tipo_poliza,prima,marca_vehiculo,modelo_vehiculo,edad_vehiculo,color,direccion,provincia,ciudad
67a0f8228d8acdc8201d7713,34895920K,Otilia,Santamaria,24,2,175-998-762,terceros ampliado,750,Jaguar,XE,5,Rosa,Via de Gala Cortes 36\nTeruel 34779,Palencia,Villamuriel de Cerrato
67a0f8228d8acdc8201d7714,33012467S,Lorena,Ibanez,33,15,629-705-750,terceros ampliado,940,BMW,X3,18,Azul,Alameda Lucio Fiol 488\nCeuta 09300,Las Palmas,Arrecife
67a0f8228d8acdc8201d7715,98129590K,Segismundo,Baena,58,4,705-653-057,todo riesgo,580,Renault,Megane,6,Rosa,Pasadizo Bartolome Pages 59\nLugo 24696,Santa Cruz de Tenerife,Arona
67a0f8228d8acdc8201d7716,54369517R,Leopoldo,Aramburu,51,19,692-605-794,todo riesgo con franquicia,1000,Citroen,C3,20,Rojo,Via de Agustina Ferrera 57\nLa Coruna 23708,A Coruna,Naron
67a0f8228d8acdc8201d7717,12901920R,Juana,Torre,26,4,191-646-654,todo riesgo con franquicia,640,Fiat,Punto,8,Rosa,Camino de Geraldo Montes 71\nHuelva 08263,Huelva,Almonte
67a0f8228d8acdc8201d7718,18913584V,Rodrigo,Contreras,49,3,035-936-774,todo riesgo,820,Renault,Megane,14,Blanco,Urbanizacion de Pili Prada 10 Piso 6 \nLas Palmas 51676,Pontevedra,Cangas
67a0f8228d8acdc8201d7719,80878284A,Carmelita,Vilar,34,5,166-643-954,terceros ampliado,550,Mitsubishi,Mirage,5,Verde,Pasaje de Olivia Baeza 99 Piso 6 \nHuelva 32999,Las Palmas,Las Palmas de Gran Canaria
67a0f8228d8acdc8201d771a,59170927T,Bonifacio,Alegria,41,23,660-896-436,todo riesgo con franquicia,580,Toyota,Corolla,6,Rosa,Acceso Sergio Linares 61\nValladolid 38634,Murcia,Lorca
67a0f8228d8acdc8201d771b,38437342H,Ricardo,Cuesta,18,0,428-311-610,todo riesgo con franquicia,1080,Jeep,Compass,16,Blanco,Via de Anunciacion Pons 58 Puerta 7 \nAvila 12144,Murcia,Cartagena
67a0f8228d8acdc8201d771c,72745474Q,Sol,Suarez,66,1,681-054-777,todo riesgo con franquicia,970,Renault,Kadjar,19,Marron,Via de Maria Angeles Ramirez 79\nPontevedra 36329,Toledo,Toledo
67a0f8228d8acdc8201d771d,47325798D,Vidal,Lluch,64,39,825-551-824,terceros,640,Volvo,XC60,8,Marron,Cuesta Inigo Villegas 210 Puerta 9 \nCaceres 36989,Vizcaya,Getxo
67a0f8228d8acdc8201d771e,90531982A,Erasmo,Arco,41,20,973-008-131,todo riesgo con franquicia,970,Tesla,Roadster,19,Verde,Ronda de Demetrio Jerez 1 Apt 46 \nCeuta 29056,Toledo,Talavera de la Reina
67a0f8228d8acdc8201d771f,78051328T,Calista,Carretero,55,26,529-010-892,todo riesgo,1000,Kia,Soul,20,Blanco,Urbanizacion Adoracion Bonilla 1\nLa Rioja 01080,Alicante,Benidorm
67a0f8228d8acdc8201d7720,55996174Y,Florinda,Sarabia,20,1,231-154-373,todo riesgo con franquicia,720,Lamborghini,Urus,4,Marron,Urbanizacion German Mateu 44\nGuipuzcoa 17425,Badajoz,Merida
67a0f8228d8acdc8201d7721,25933492A,Moreno,Ortuno,22,4,171-085-994,todo riesgo,660,Honda,Civic,2,Marron,Camino de Rufina Hidalgo 5\nBaleares 16883,Cantabria,Torrelavega
67a0f8228d8acdc8201d7722,63766222X,Ofelia,Belmonte,28,1,472-386-727,todo riesgo con franquicia,850,Jeep,Wrangler,15,Verde,Rambla Oscar Pena 6 Puerta 1 \nSegovia 23774,Alicante,Elche
67a0f8228d8acdc8201d7723,44019608T,Desiderio,Puga,66,41,781-308-889,todo riesgo,610,Subaru,Impreza,7,Plata,Camino de Edu Oller 33 Puerta 5 \nVizcaya 43854,Murcia,Molina de Segura
